Parameter,Value
LEARNING_RATE,0.001
GAMMA,0.99
BUFFER_SIZE,100000
BATCH_SIZE,128
TARGET_UPDATE_INTERVAL,100
EPSILON_START,1.0
EPSILON_MIN,0.05
EPSILON_DECAY_RATE,2.5e-06
MAX_TIMESTEPS,500
LEARNING_STARTS,0
TRAIN_FREQ,4
N_EPISODES,10000
NEURAL_NET_STRUCTURE,"{'net_arch': [256, 512, 256]}"
TRAINING_FOLDERS_PATH,../data/Training-100-days-6-ac-1-disrupted/
model_name,dqn_1000000d_100u
model_version,3
MODEL_SAVE_PATH,../trained_models/dqn_1000000d_100u-3.zip
runtime_in_seconds,2789.864313
runtime_in_hh:mm:ss,0:46:29.864313
total_timesteps,1644184
MAX_AIRCRAFT,3
MAX_FLIGHTS_PER_AIRCRAFT,8
TIMESTEP_HOURS,1
DUMMY_VALUE,-999
RESOLVED_CONFLICT_REWARD,1000
DELAY_MINUTE_PENALTY,6
MAX_DELAY_PENALTY,1000
NO_ACTION_PENALTY,5
CANCELLED_FLIGHT_PENALTY,1000
MIN_TURN_TIME,0
MODEL_LAYERS,3
UNITS_PER_LAYER,128
device,mps
